"stim_id","twister","exp_cond","cb_cond","vowel","crit_cons"
1650,"maf hang gak san","coda","AE->F; IH->S","AE","FS"
2666,"kass maf hang gan","coda","AE->F; IH->S","AE","FS"
2523,"kaf han mang sag","coda","AE->F; IH->S","AE","FS"
2267,"gass naf mang hak","coda","AE->F; IH->S","AE","FS"
2279,"nim fing hiss ghik","coda","AE->F; IH->S","IH","FS"
2256,"ghim kiss ning hif","coda","AE->F; IH->S","IH","FS"
2401,"hing fiss kig min","coda","AE->F; IH->S","IH","FS"
330,"king min hig fiss","coda","AE->F; IH->S","IH","FS"
358,"kam fass hang gan","coda","AE->S; IH->F","AE","FS"
1569,"nang kaf gam hass","coda","AE->S; IH->F","AE","FS"
2029,"mang nag hass fak","coda","AE->S; IH->F","AE","FS"
1603,"mag nass kaf hang","coda","AE->S; IH->F","AE","FS"
1952,"hig sin king mif","coda","AE->S; IH->F","IH","FS"
2003,"sik hig ning mif","coda","AE->S; IH->F","IH","FS"
1195,"ghim kiss ning hif","coda","AE->S; IH->F","IH","FS"
482,"mig kif hiss ning","coda","AE->S; IH->F","IH","FS"
1729,"hav nak gang maz","coda","IH->F; AE->S","AE","VZ"
2833,"mang kav gan haz","coda","IH->F; AE->S","AE","VZ"
1379,"vam gan kaz hang","coda","IH->F; AE->S","AE","VZ"
1442,"vaz hang mag nak","coda","IH->F; AE->S","AE","VZ"
1907,"zig niv hing mik","coda","IH->F; AE->S","IH","VZ"
1103,"ziv hig ming kin","coda","IH->F; AE->S","IH","VZ"
336,"ghim nik ziv hing","coda","IH->F; AE->S","IH","VZ"
2181,"ghin miv zik hing","coda","IH->F; AE->S","IH","VZ"
1813,"nam gav zak hang","coda","IH->S; AE->F","AE","VZ"
1266,"hang mag kav zan","coda","IH->S; AE->F","AE","VZ"
2644,"hak nang gam zav","coda","IH->S; AE->F","AE","VZ"
2244,"hang kan zav gam","coda","IH->S; AE->F","AE","VZ"
1393,"vin ghing mik hiz","coda","IH->S; AE->F","IH","VZ"
2641,"ghin miz ving hik","coda","IH->S; AE->F","IH","VZ"
1106,"kin hing miv ghiz","coda","IH->S; AE->F","IH","VZ"
2247,"hing niz ghim kiv","coda","IH->S; AE->F","IH","VZ"
39,"fang kag nass ham","onset","AE->F; IH->S","AE","FS"
333,"han sang gak fam","onset","AE->F; IH->S","AE","FS"
2517,"mag sak fang han","onset","AE->F; IH->S","AE","FS"
479,"hang mag nass fak","onset","AE->F; IH->S","AE","FS"
1086,"zan ham vak gang","onset","AE->F; IH->S","AE","VZ"
1797,"mak han vang gaz","onset","AE->F; IH->S","AE","VZ"
612,"ham nang gaz vak","onset","AE->F; IH->S","AE","VZ"
1778,"nag zam vak hang","onset","AE->F; IH->S","AE","VZ"
2786,"kif ghing hin sim","onset","AE->F; IH->S","IH","FS"
502,"nim hing sig kif","onset","AE->F; IH->S","IH","FS"
462,"sig fing hik nim","onset","AE->F; IH->S","IH","FS"
2594,"kif hing sin mig","onset","AE->F; IH->S","IH","FS"
2210,"kiv hing zig nim","onset","AE->F; IH->S","IH","VZ"
1609,"him kiv ning zig","onset","AE->F; IH->S","IH","VZ"
379,"ving kig him zin","onset","AE->F; IH->S","IH","VZ"
2585,"zin ghing him kiv","onset","AE->F; IH->S","IH","VZ"
1020,"hag kang maf san","onset","AE->S; IH->F","AE","FS"
3051,"kam san haf gang","onset","AE->S; IH->F","AE","FS"
2669,"kang hag san maf","onset","AE->S; IH->F","AE","FS"
1503,"fang sam nak hag","onset","AE->S; IH->F","AE","FS"
1550,"kang nav ham zag","onset","AE->S; IH->F","AE","VZ"
1048,"van hak zang gam","onset","AE->S; IH->F","AE","VZ"
551,"hag vang kan zam","onset","AE->S; IH->F","AE","VZ"
832,"nav kam zang hag","onset","AE->S; IH->F","AE","VZ"
2676,"mik sing hin fig","onset","AE->S; IH->F","IH","FS"
153,"sim hin ghing fik","onset","AE->S; IH->F","IH","FS"
2428,"fing mig kiss hin","onset","AE->S; IH->F","IH","FS"
1834,"hiss fik min ghing","onset","AE->S; IH->F","IH","FS"
616,"viz hing kig min","onset","AE->S; IH->F","IH","VZ"
908,"vin hing zig mik","onset","AE->S; IH->F","IH","VZ"
231,"mig hing vin zik","onset","AE->S; IH->F","IH","VZ"
3072,"nik ving zig him","onset","AE->S; IH->F","IH","VZ"
