"stim_id","twister","exp_cond","cb_cond","vowel","crit_cons"
2476,"sang ham kag naf","coda","AE->F; IH->S","AE","FS"
1365,"man hang gass kaf","coda","AE->F; IH->S","AE","FS"
2120,"gaf kan mass hang","coda","AE->F; IH->S","AE","FS"
632,"san haf gam kang","coda","AE->F; IH->S","AE","FS"
1494,"sag naf hang mak","coda","AE->F; IH->S","AE","FS"
1486,"mak gaf hang san","coda","AE->F; IH->S","AE","FS"
2518,"gan maf hak sang","coda","AE->F; IH->S","AE","FS"
2597,"san haf kag mang","coda","AE->F; IH->S","AE","FS"
2666,"kass maf hang gan","coda","AE->F; IH->S","AE","FS"
1852,"gass maf nang hak","coda","AE->F; IH->S","AE","FS"
2468,"haf mang gass nak","coda","AE->F; IH->S","AE","FS"
1518,"hang kan gaf mass","coda","AE->F; IH->S","AE","FS"
1650,"maf hang gak san","coda","AE->F; IH->S","AE","FS"
2674,"nang mag kaf hass","coda","AE->F; IH->S","AE","FS"
1801,"nass gang ham kaf","coda","AE->F; IH->S","AE","FS"
2523,"kaf han mang sag","coda","AE->F; IH->S","AE","FS"
2560,"nak haf mang sag","coda","AE->F; IH->S","AE","FS"
1480,"gam haf sang kan","coda","AE->F; IH->S","AE","FS"
2267,"gass naf mang hak","coda","AE->F; IH->S","AE","FS"
2970,"saf kan mag hang","coda","AE->F; IH->S","AE","FS"
922,"gaf mass kang han","coda","AE->F; IH->S","AE","FS"
2662,"nak mag hang saf","coda","AE->F; IH->S","AE","FS"
2329,"hass mang kan gaf","coda","AE->F; IH->S","AE","FS"
1763,"nang hag mass kaf","coda","AE->F; IH->S","AE","FS"
2316,"nass mag kang haf","coda","AE->F; IH->S","AE","FS"
1322,"gam saf nak hang","coda","AE->F; IH->S","AE","FS"
583,"sang ham nak gaf","coda","AE->F; IH->S","AE","FS"
1295,"nam saf gang hak","coda","AE->F; IH->S","AE","FS"
2044,"kaf mag hass nang","coda","AE->F; IH->S","AE","FS"
2978,"hag nak maf sang","coda","AE->F; IH->S","AE","FS"
2068,"sak mang gaf han","coda","AE->F; IH->S","AE","FS"
1454,"han sak gaf mang","coda","AE->F; IH->S","AE","FS"
