"stim_id","twister","exp_cond","cb_cond","vowel","exp_idx"
2476,"sang ham kag naf","coda","AE->F; IH->S","AE",1
1365,"man hang gass kaf","coda","AE->F; IH->S","AE",1
2120,"gaf kan mass hang","coda","AE->F; IH->S","AE",1
632,"san haf gam kang","coda","AE->F; IH->S","AE",1
1494,"sag naf hang mak","coda","AE->F; IH->S","AE",1
1486,"mak gaf hang san","coda","AE->F; IH->S","AE",1
2518,"gan maf hak sang","coda","AE->F; IH->S","AE",1
2597,"san haf kag mang","coda","AE->F; IH->S","AE",1
2666,"kass maf hang gan","coda","AE->F; IH->S","AE",1
1852,"gass maf nang hak","coda","AE->F; IH->S","AE",1
2468,"haf mang gass nak","coda","AE->F; IH->S","AE",1
1518,"hang kan gaf mass","coda","AE->F; IH->S","AE",1
1650,"maf hang gak san","coda","AE->F; IH->S","AE",1
2674,"nang mag kaf hass","coda","AE->F; IH->S","AE",1
1801,"nass gang ham kaf","coda","AE->F; IH->S","AE",1
2523,"kaf han mang sag","coda","AE->F; IH->S","AE",1
2560,"nak haf mang sag","coda","AE->F; IH->S","AE",1
1480,"gam haf sang kan","coda","AE->F; IH->S","AE",1
2267,"gass naf mang hak","coda","AE->F; IH->S","AE",1
2970,"saf kan mag hang","coda","AE->F; IH->S","AE",1
922,"gaf mass kang han","coda","AE->F; IH->S","AE",1
2662,"nak mag hang saf","coda","AE->F; IH->S","AE",1
2329,"hass mang kan gaf","coda","AE->F; IH->S","AE",1
1763,"nang hag mass kaf","coda","AE->F; IH->S","AE",1
2316,"nass mag kang haf","coda","AE->F; IH->S","AE",1
1322,"gam saf nak hang","coda","AE->F; IH->S","AE",1
583,"sang ham nak gaf","coda","AE->F; IH->S","AE",1
1295,"nam saf gang hak","coda","AE->F; IH->S","AE",1
2044,"kaf mag hass nang","coda","AE->F; IH->S","AE",1
2978,"hag nak maf sang","coda","AE->F; IH->S","AE",1
2068,"sak mang gaf han","coda","AE->F; IH->S","AE",1
1454,"han sak gaf mang","coda","AE->F; IH->S","AE",1
554,"kag mass nang haf","coda","AE->F; IH->S","AE",1
1123,"maf han sang kag","coda","AE->F; IH->S","AE",1
2921,"naf sag mang hak","coda","AE->F; IH->S","AE",1
2603,"sag naf mak hang","coda","AE->F; IH->S","AE",1
802,"gass haf mak nang","coda","AE->F; IH->S","AE",1
2391,"saf kam han gang","coda","AE->F; IH->S","AE",1
1040,"sam hak gaf nang","coda","AE->F; IH->S","AE",1
1235,"kag hang san maf","coda","AE->F; IH->S","AE",1
2898,"ham gak sang naf","coda","AE->F; IH->S","AE",1
959,"nag mass kang haf","coda","AE->F; IH->S","AE",1
