"","twister","exp_cond","cb_cond","vowel","exp_idx"
"1","mik fig sing niv","all","all","XX","1"
"2","nif kiz ghim ving","all","all","XX","2"
"3","ghik nis mif ghik","all","all","XX","3"
"4","fam han gas kaz","all","all","XX","4"
"5","vaz gak naf hang","all","all","XX","5"
"6","vim hing sif kig","all","all","XX","6"
"7","kav sang maf gaz","all","all","XX","7"
"8","zing him kis ghif","all","all","XX","8"
"9","mig kiv fing hiz","all","all","XX","9"
"10","kan gam zav hang","all","all","XX","10"
"11","zan hak saf zan","all","all","XX","11"
"12","sin mif ghiz hik","all","all","XX","12"
"13","kang has fan gav","all","all","XX","13"
"14","min ghing sig fik","all","all","XX","14"
"15","kif ning ghim hig","all","all","XX","15"
"16","zig fik ning ghim","all","all","XX","16"
"17","kaf nas maz ham","all","all","XX","17"
"18","van kas gaf haz","all","all","XX","18"
"19","fang hag nav kaz","all","all","XX","19"
"20","nik ghim ving hif","all","all","XX","20"
"21","viz him kis ghif","all","all","XX","21"
"22","ghis miv hin fig","all","all","XX","22"
"23","fim sing niv zik","all","all","XX","23"
"24","kin vig zim fis","all","all","XX","24"
"25","hiv miz sik ghing","all","all","XX","25"
"26","ming fig niv sik","all","all","XX","26"
"27","vak nam gaf haz","all","all","XX","27"
"28","man sak gav zang","all","all","XX","28"
"29","kim fig sing niv","all","all","XX","29"
"30","ghin mif hik ghin","all","all","XX","30"
"31","sim fing hig vin","all","all","XX","31"
"32","zak mav nag hang","all","all","XX","32"
"33","mak has fan gav","all","all","XX","33"
"34","mas gang fak zav","all","all","XX","34"
"35","kag san mang zav","all","all","XX","35"
"36","vam gaz fak has","all","all","XX","36"
"37","mis ghiz hik mis","all","all","XX","37"
"38","sam nak niz vik","all","all","XX","38"
"39","sag naz hav mang","all","all","XX","39"
"40","gan hav sang kam","all","all","XX","40"
"41","zam fak has gav","all","all","XX","41"
"42","haf nav gas kaz","all","all","XX","42"
"43","fas kam gang zav","all","all","XX","43"
"44","ziv hing sif kig","all","all","XX","44"
"45","zin ghim ving hif","all","all","XX","45"
"46","zag mav kas nang","all","all","XX","46"
"47","vang mag fak has","all","all","XX","47"
"48","fin vig zim king","all","all","XX","48"
"49","nim ghiv his fig","all","all","XX","49"
